TS_LOAD,SYS_DESC,VEH_SER_NO,OPR_NAME
6-Mar-17,Paint Inspection,SPI314,PAINT
6-Mar-17,Cab in white conveyer,CNE620,CIW upload
6-Mar-17,STVMS Tracking Top Station,ZKY831,Top Station
6-Mar-17,STVMS Tracking Top Station,AYO527,Top Station
6-Mar-17,U-BOLT,ICB356,Rear U-Bolt
6-Mar-17,Assembly Line Tracker,AYO527,Pool 60 Start
6-Mar-17,Assembly Line Tracker,ZKY831,Pool 60 Start
6-Mar-17,Assembly Line Tracker,SYV137,Pool 13 Start
6-Mar-17,Assembly Line Tracker,KNR831,Pool 13 Start
6-Mar-17,STVMS Tracking Top Station,KNR831,Top Station
6-Mar-17,Assembly Line Tracker,KNR831,Pool 60 Start
6-Mar-17,Hood Conveyor,FHU982,Hood Upload
6-Mar-17,STVMS Tracking Chassis Start,ZVI392,Chassis Start
6-Mar-17,Cab Conveyer,WRT608,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,WRT608,Cab Upload
6-Mar-17,Cab in white conveyer,DAJ581,CIW upload
6-Mar-17,Cab Call Scan,RAI572,B Line
6-Mar-17,OMT Offline Tracking,JCM567,Enter Offline
6-Mar-17,OMT Offline Tracking,JCM567,Sold
6-Mar-17,Paint Inspection,MPO083,PAINT
6-Mar-17,Cab call scan,SPA495,A Line
6-Mar-17,U-BOLT,MPE786,Front U-Bolt
6-Mar-17,OMT Offline Tracking,GFM783,Enter Offline
6-Mar-17,Hood Conveyor,YCR723,Hood Upload
6-Mar-17,Cab in white conveyer,MTV391,CIW upload
6-Mar-17,STVMS Tracking Top Station,SYV137,Top Station
6-Mar-17,Cab Conveyer,NUX358,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,NUX358,Cab Upload
6-Mar-17,Paint Inspection,AGU058,PAINT
6-Mar-17,U-BOLT,JBC439,Front U-Bolt
6-Mar-17,Assembly Line Tracker,SYV137,Pool 60 Start
6-Mar-17,U-BOLT,JBC439,Rear U-Bolt
6-Mar-17,OMT Offline Tracking,TMZ629,Enter Offline
6-Mar-17,STVMS Tracking Chassis Start,LGO801,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,FTI824,Chassis Start
6-Mar-17,Paint Inspection,QZH295,PAINT
6-Mar-17,Hood Conveyor,EBL860,Hood Upload
6-Mar-17,OMT Offline Tracking,EUZ386,Enter Offline
6-Mar-17,U-BOLT,GSF615,Rear U-Bolt
6-Mar-17,Cab Call Scan,YAP829,B Line
6-Mar-17,Cab in white conveyer,PVO367,CIW upload
6-Mar-17,Hood Conveyor,AHN391,Hood Upload
6-Mar-17,Cab call scan,LTV094,A Line
6-Mar-17,STVMS Tracking Chassis Start,VCM016,Chassis Start
6-Mar-17,Hood Conveyor,KFN372,Hood Upload
6-Mar-17,STVMS Tracking Top Station,LGO801,Top Station
6-Mar-17,U-BOLT,OWH831,Front U-Bolt
6-Mar-17,Cab Conveyer,BIP389,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,BIP389,Cab Upload
6-Mar-17,Cab in white conveyer,JCV863,CIW upload
6-Mar-17,Assembly Line Tracker,LGO801,Pool 60 Start
6-Mar-17,Assembly Line Tracker,LGO801,Pool 13 Start
6-Mar-17,Assembly Line Tracker,ZVI392,Pool 13 Start
6-Mar-17,STVMS Tracking Chassis Start,PJL425,Chassis Start
6-Mar-17,Hood Conveyor,DPH631,Hood Upload
6-Mar-17,OMT Offline Tracking,SNI285,Enter Offline
6-Mar-17,Paint Inspection,SEK173,PAINT
6-Mar-17,OMT Offline Tracking,PMN417,Enter Offline
6-Mar-17,Cab in white conveyer,DRY562,CIW upload
6-Mar-17,Assembly Line Tracker,FTI824,Pool 13 Start
6-Mar-17,Cab call scan,ZIQ738,A Line
6-Mar-17,U-BOLT,QPC953,Rear U-Bolt
6-Mar-17,Hood Conveyor,MPO083,Hood Upload
6-Mar-17,U-BOLT,QPC953,Front U-Bolt
6-Mar-17,Cab Conveyer,SPA495,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,SPA495,Cab Upload
6-Mar-17,Cab Conveyer,GDR742,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,GDR742,Cab Upload
6-Mar-17,Paint Inspection,TRJ645,PAINT
6-Mar-17,STVMS Tracking Chassis Start,CMI143,Chassis Start
6-Mar-17,Assembly Line Tracker,VCM016,Pool 13 Start
6-Mar-17,Hood Conveyor,LER634,Hood Upload
6-Mar-17,Cab Call Scan,THO850,B Line
6-Mar-17,Cab Call Scan,ARS065,B Line
6-Mar-17,U-BOLT,SYA283,Front U-Bolt
6-Mar-17,U-BOLT,SYA283,Rear U-Bolt
6-Mar-17,Assembly Line Tracker,PJL425,Pool 13 Start
6-Mar-17,Hood Conveyor,SPI314,Hood Upload
6-Mar-17,Cab Conveyer,RAI572,Cab Upload 2
6-Mar-17,Assembly Line Tracker,FTI653,Pool 13 Start
6-Mar-17,U-BOLT,GJK683,Rear U-Bolt
6-Mar-17,U-BOLT,HMS840,Front U-Bolt
6-Mar-17,Cab Conveyer,DPH631,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,DPH631,Cab Upload
6-Mar-17,Hood Conveyor,XSZ543,Hood Upload
6-Mar-17,Cab Conveyer,KFN372,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,KFN372,Cab Upload
6-Mar-17,Cab call scan,SEK173,A Line
6-Mar-17,Cab Conveyer,MPO083,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,MPO083,Cab Upload
6-Mar-17,Paint Inspection,PWR481,PAINT
6-Mar-17,Hood Conveyor,PWR481,Hood Upload
6-Mar-17,Paint Inspection,JIN079,PAINT
6-Mar-17,Cab in white conveyer,VQP946,CIW upload
6-Mar-17,U-BOLT,RBT219,Front U-Bolt
6-Mar-17,Cab Conveyer,LER634,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,LER634,Cab Upload
6-Mar-17,Paint Inspection,XGC043,PAINT
6-Mar-17,Cab Call Scan,CSV482,B Line
6-Mar-17,OMT Offline Tracking,PVZ436,Enter Offline
6-Mar-17,Cab in white conveyer,LFW513,CIW upload
6-Mar-17,Cab call scan,TRJ645,A Line
6-Mar-17,OMT Offline Tracking,SYA283,Enter Offline
6-Mar-17,U-BOLT,YXF326,Front U-Bolt
6-Mar-17,Hood Conveyor,XGC043,Hood Upload
6-Mar-17,Paint Inspection,TMU402,PAINT
6-Mar-17,Cab Conveyer,SPI314,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,SPI314,Cab Upload
6-Mar-17,STVMS Tracking Chassis Start,FTI653,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,KUR214,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,ILA012,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,FQP941,Chassis Start
6-Mar-17,U-BOLT,YXF326,Rear U-Bolt
6-Mar-17,U-BOLT,YKN950,Front U-Bolt
6-Mar-17,OMT Offline Tracking,JKZ317,Enter Offline
6-Mar-17,Paint Inspection,HCS198,PAINT
6-Mar-17,Cab in white conveyer,TXC574,CIW upload
6-Mar-17,OMT Offline Tracking,VFR160,Enter Offline
6-Mar-17,Assembly Line Tracker,FQP941,Pool 13 Start
6-Mar-17,Assembly Line Tracker,ILA012,Pool 13 Start
6-Mar-17,Assembly Line Tracker,KUR214,Pool 13 Start
6-Mar-17,Hood Conveyor,JIN079,Hood Upload
6-Mar-17,Cab Call Scan,YZU059,B Line
6-Mar-17,Cab call scan,NHZ581,A Line
6-Mar-17,Cab Conveyer,AGU058,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,AGU058,Cab Upload
6-Mar-17,U-BOLT,IXT460,Front U-Bolt
6-Mar-17,Hood Conveyor,HCS198,Hood Upload
6-Mar-17,Cab in white conveyer,THO497,CIW upload
6-Mar-17,Cab Conveyer,SEK173,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,SEK173,Cab Upload
6-Mar-17,Hood Conveyor,TMU402,Hood Upload
6-Mar-17,OMT Offline Tracking,ZKY831,Enter Offline
6-Mar-17,Cab in white conveyer,VFH294,CIW upload
6-Mar-17,U-BOLT,IXT460,Rear U-Bolt
6-Mar-17,Cab Conveyer,QZH295,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,QZH295,Cab Upload
6-Mar-17,OMT Offline Tracking,AYO527,Enter Offline
6-Mar-17,U-BOLT,DJZ516,Front U-Bolt
6-Mar-17,STVMS Tracking Chassis Start,HQI892,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,MAU864,Chassis Start
6-Mar-17,Cab Call Scan,APZ612,B Line
6-Mar-17,U-BOLT,SPF970,Front U-Bolt
6-Mar-17,Cab call scan,FZA809,A Line
6-Mar-17,Cab Conveyer,TRJ645,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,TRJ645,Cab Upload
6-Mar-17,U-BOLT,SPF970,Rear U-Bolt
6-Mar-17,Cab in white conveyer,ZXA107,CIW upload
6-Mar-17,U-BOLT,JYZ708,Front U-Bolt
6-Mar-17,Cab Conveyer,CSV482,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,CSV482,Cab Upload
6-Mar-17,Assembly Line Tracker,HQI892,Pool 13 Start
6-Mar-17,OMT Offline Tracking,ZVI392,Enter Offline
6-Mar-17,Paint Inspection,EBM074,PAINT
6-Mar-17,U-BOLT,JYZ708,Rear U-Bolt
6-Mar-17,Cab Call Scan,YWI795,B Line
6-Mar-17,U-BOLT,KLN307,Front U-Bolt
6-Mar-17,STVMS Tracking Top Station,ZVI392,Top Station
6-Mar-17,STVMS Tracking Top Station,PJL425,Top Station
6-Mar-17,STVMS Tracking Top Station,CMI143,Top Station
6-Mar-17,STVMS Tracking Top Station,VFX591,Top Station
6-Mar-17,STVMS Tracking Top Station,EPR018,Top Station
6-Mar-17,STVMS Tracking Top Station,DPA037,Top Station
6-Mar-17,Paint Inspection,TBP914,PAINT
6-Mar-17,STVMS Tracking Top Station,OQS570,Top Station
6-Mar-17,STVMS Tracking Top Station,FTI653,Top Station
6-Mar-17,STVMS Tracking Top Station,KUR214,Top Station
6-Mar-17,STVMS Tracking Top Station,ILA012,Top Station
6-Mar-17,STVMS Tracking Top Station,FQP941,Top Station
6-Mar-17,STVMS Tracking Top Station,HQI892,Top Station
6-Mar-17,STVMS Tracking Top Station,MAU864,Top Station
6-Mar-17,Cab call scan,ZPW452,A Line
6-Mar-17,U-BOLT,KLN307,Rear U-Bolt
6-Mar-17,Assembly Line Tracker,MAU864,Pool 60 Start
6-Mar-17,Assembly Line Tracker,HQI892,Pool 60 Start
6-Mar-17,Assembly Line Tracker,FQP941,Pool 60 Start
6-Mar-17,Assembly Line Tracker,ILA012,Pool 60 Start
6-Mar-17,Cab in white conveyer,EBT912,CIW upload
6-Mar-17,Assembly Line Tracker,KUR214,Pool 60 Start
6-Mar-17,Assembly Line Tracker,FTI653,Pool 60 Start
6-Mar-17,Assembly Line Tracker,OQS570,Pool 60 Start
6-Mar-17,OMT Offline Tracking,KNR831,Enter Offline
6-Mar-17,Assembly Line Tracker,DPA037,Pool 60 Start
6-Mar-17,Assembly Line Tracker,EPR018,Pool 60 Start
6-Mar-17,Assembly Line Tracker,VFX591,Pool 60 Start
6-Mar-17,Assembly Line Tracker,CMI143,Pool 60 Start
6-Mar-17,Assembly Line Tracker,PJL425,Pool 60 Start
6-Mar-17,Assembly Line Tracker,MAU864,Pool 13 Start
6-Mar-17,Assembly Line Tracker,ZVI392,Pool 60 Start
6-Mar-17,STVMS Tracking Chassis Start,WBR310,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,LPU731,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,SFZ186,Chassis Start
6-Mar-17,Cab Conveyer,NHZ581,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,NHZ581,Cab Upload
6-Mar-17,OMT Offline Tracking,LGO801,Enter Offline
6-Mar-17,U-BOLT,VFX591,Front U-Bolt
6-Mar-17,Assembly Line Tracker,WBR310,Pool 13 Start
6-Mar-17,Cab Conveyer,YZU059,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,YZU059,Cab Upload
6-Mar-17,Cab in white conveyer,IFX670,CIW upload
6-Mar-17,OMT Offline Tracking,SYV137,Enter Offline
6-Mar-17,OMT Offline Tracking,SYV137,Sold
6-Mar-17,STVMS Tracking Chassis Start,XSZ543,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,PWR481,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,XGC043,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,JIN079,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,HCS198,Chassis Start
6-Mar-17,Cab Call Scan,EVB234,B Line
6-Mar-17,Paint Inspection,XJI184,PAINT
6-Mar-17,U-BOLT,EPR018,Front U-Bolt
6-Mar-17,Cab in white conveyer,FWU517,CIW upload
6-Mar-17,Assembly Line Tracker,LPU731,Pool 13 Start
6-Mar-17,Paint Inspection,BJM584,PAINT
6-Mar-17,U-BOLT,EPR018,Rear U-Bolt
6-Mar-17,Cab Conveyer,FZA809,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,FZA809,Cab Upload
6-Mar-17,Cab call scan,QRM025,A Line
6-Mar-17,Cab in white conveyer,KMW285,CIW upload
6-Mar-17,OMT Offline Tracking,VCM016,Enter Offline
6-Mar-17,Paint Inspection,YRW680,PAINT
6-Mar-17,Hood Conveyor,EBM074,Hood Upload
6-Mar-17,U-BOLT,DPA037,Front U-Bolt
6-Mar-17,OMT Offline Tracking,FTI824,Enter Offline
6-Mar-17,Hood Conveyor,TBP914,Hood Upload
6-Mar-17,Assembly Line Tracker,SFZ186,Pool 13 Start
6-Mar-17,Cab Conveyer,APZ612,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,APZ612,Cab Upload
6-Mar-17,U-BOLT,OQS570,Front U-Bolt
6-Mar-17,Assembly Line Tracker,XSZ543,Pool 13 Start
6-Mar-17,Hood Conveyor,XJI184,Hood Upload
6-Mar-17,Cab Conveyer,YWI795,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,YWI795,Cab Upload
6-Mar-17,Cab call scan,YCU023,A Line
6-Mar-17,OMT Offline Tracking,PJL425,Enter Offline
6-Mar-17,Paint Inspection,TEK452,PAINT
6-Mar-17,Assembly Line Tracker,PWR481,Pool 13 Start
6-Mar-17,U-BOLT,FTI653,Front U-Bolt
6-Mar-17,Hood Conveyor,BJM584,Hood Upload
6-Mar-17,Cab in white conveyer,NSP483,CIW upload
6-Mar-17,Cab Call Scan,QLV652,B Line
6-Mar-17,U-BOLT,DPA037,Rear U-Bolt
6-Mar-17,Assembly Line Tracker,XGC043,Pool 13 Start
6-Mar-17,Cab Conveyer,ZPW452,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,ZPW452,Cab Upload
6-Mar-17,OMT Offline Tracking,IOU412,Enter Offline
6-Mar-17,Hood Conveyor,YRW680,Hood Upload
6-Mar-17,U-BOLT,KUR214,Front U-Bolt
6-Mar-17,U-BOLT,KUR214,Rear U-Bolt
6-Mar-17,Hood Conveyor,TEK452,Hood Upload
6-Mar-17,OMT Offline Tracking,WBR310,Enter Offline
6-Mar-17,Cab Conveyer,FWS327,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,FWS327,Cab Upload
6-Mar-17,U-BOLT,EZV240,Front U-Bolt
6-Mar-17,Hood Conveyor,RUK258,Hood Upload
6-Mar-17,Hood Conveyor,UZV267,Hood Upload
6-Mar-17,Cab Call Scan,DAJ581,B Line
6-Mar-17,U-BOLT,HTV792,Front U-Bolt
6-Mar-17,Cab Conveyer,UXJ427,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,UXJ427,Cab Upload
6-Mar-17,Cab call scan,MTV391,A Line
6-Mar-17,OMT Offline Tracking,LPU731,Enter Offline
6-Mar-17,Cab in white conveyer,XUB638,CIW upload
6-Mar-17,Paint Inspection,DIN812,PAINT
6-Mar-17,Cab Conveyer,CNE620,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,CNE620,Cab Upload
6-Mar-17,U-BOLT,HXT823,Front U-Bolt
6-Mar-17,STVMS Tracking Chassis Start,WQS294,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,MUJ483,Chassis Start
6-Mar-17,Cab Call Scan,DUT829,B Line
6-Mar-17,STVMS Tracking Chassis Start,GLW381,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,LES327,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,RUK258,Chassis Start
6-Mar-17,Cab in white conveyer,XNK048,CIW upload
6-Mar-17,Paint Inspection,BPM756,PAINT
6-Mar-17,OMT Offline Tracking,SFZ186,Enter Offline
6-Mar-17,Cab Call Scan,JCV863,B Line
6-Mar-17,U-BOLT,SNU912,Front U-Bolt
6-Mar-17,Paint Inspection,XWS890,PAINT
6-Mar-17,Cab in white conveyer,WYB426,CIW upload
6-Mar-17,OMT Offline Tracking,XSZ543,Enter Offline
6-Mar-17,Cab call scan,PVO367,A Line
6-Mar-17,Hood Conveyor,BPM756,Hood Upload
6-Mar-17,Hood Conveyor,DIN812,Hood Upload
6-Mar-17,OMT Offline Tracking,PWR481,Enter Offline
6-Mar-17,Cab Conveyer,DAJ581,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,DAJ581,Cab Upload
6-Mar-17,Cab in white conveyer,UDG579,CIW upload
6-Mar-17,U-BOLT,CFO213,Front U-Bolt
6-Mar-17,Hood Conveyor,XWS890,Hood Upload
6-Mar-17,STVMS Tracking Chassis Start,UZV267,Chassis Start
6-Mar-17,STVMS Tracking Chassis Start,BPM756,Chassis Start
6-Mar-17,Cab in white conveyer,EXO028,CIW upload
6-Mar-17,Hood Conveyor,LWM061,Hood Upload
6-Mar-17,STVMS Tracking Chassis Start,DIN812,Chassis Start
6-Mar-17,Cab call scan,DRY562,A Line
6-Mar-17,Cab Conveyer,MTV391,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,MTV391,Cab Upload
6-Mar-17,OMT Offline Tracking,XGC043,Enter Offline
6-Mar-17,Cab in white conveyer,HSE253,CIW upload
6-Mar-17,OMT Offline Tracking,HQI892,Sold
6-Mar-17,Cab Conveyer,PVO367,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,PVO367,Cab Upload
6-Mar-17,Paint Inspection,ZBT013,PAINT
6-Mar-17,Paint Inspection,LWM061,PAINT
6-Mar-17,Cab Call Scan,NTD012,B Line
6-Mar-17,Cab in white conveyer,MXU287,CIW upload
6-Mar-17,U-BOLT,TXR569,Front U-Bolt
6-Mar-17,STVMS Tracking Top Station,XET976,Top Station
6-Mar-17,STVMS Tracking Top Station,TXR569,Top Station
6-Mar-17,STVMS Tracking Top Station,BYF840,Top Station
6-Mar-17,STVMS Tracking Top Station,ZJC386,Top Station
6-Mar-17,STVMS Tracking Top Station,ZJK473,Top Station
6-Mar-17,STVMS Tracking Top Station,QTI468,Top Station
6-Mar-17,STVMS Tracking Top Station,MBG962,Top Station
6-Mar-17,STVMS Tracking Top Station,DKE275,Top Station
6-Mar-17,STVMS Tracking Top Station,MUJ483,Top Station
6-Mar-17,STVMS Tracking Top Station,GLW381,Top Station
6-Mar-17,STVMS Tracking Top Station,LES327,Top Station
6-Mar-17,STVMS Tracking Top Station,RUK258,Top Station
6-Mar-17,STVMS Tracking Top Station,UZV267,Top Station
6-Mar-17,STVMS Tracking Top Station,BPM756,Top Station
6-Mar-17,OMT Offline Tracking,HCS198,Enter Offline
6-Mar-17,Assembly Line Tracker,BPM756,Pool 60 Start
6-Mar-17,Assembly Line Tracker,UZV267,Pool 60 Start
6-Mar-17,Assembly Line Tracker,RUK258,Pool 60 Start
6-Mar-17,Assembly Line Tracker,LES327,Pool 60 Start
6-Mar-17,Assembly Line Tracker,GLW381,Pool 60 Start
6-Mar-17,Assembly Line Tracker,MUJ483,Pool 60 Start
6-Mar-17,Assembly Line Tracker,DKE275,Pool 60 Start
6-Mar-17,Assembly Line Tracker,MBG962,Pool 60 Start
6-Mar-17,Assembly Line Tracker,QTI468,Pool 60 Start
6-Mar-17,Assembly Line Tracker,ZJK473,Pool 60 Start
6-Mar-17,Assembly Line Tracker,ZJC386,Pool 60 Start
6-Mar-17,Assembly Line Tracker,BYF840,Pool 60 Start
6-Mar-17,Assembly Line Tracker,TXR569,Pool 60 Start
6-Mar-17,Assembly Line Tracker,XET976,Pool 60 Start
6-Mar-17,Cab call scan,IVC016,A Line
6-Mar-17,Paint Inspection,ZJU865,PAINT
6-Mar-17,Hood Conveyor,ZJU865,Hood Upload
6-Mar-17,Cab Conveyer,DUT829,Cab Upload 2
6-Mar-17,Cab Conveyor / Monorail,DUT829,Cab Upload
6-Mar-17,Cab in white conveyer,GJI906,CIW upload
6-Mar-17,U-BOLT,BYF840,Front U-Bolt
6-Mar-17,Cab Call Scan,HBM615,B Line
6-Mar-17,Cab in white conveyer,GWQ581,CIW upload
6-Mar-17,Paint Inspection,JZP143,PAINT
6-Mar-17,Cab in white conveyer,IYM374,CIW upload
6-Mar-17,Cab in white conveyer,PNR981,CIW upload
6-Mar-17,Hood Conveyor,ZBT013,Hood Upload
